Codigo,CodCompra,RubroC,Item,Stock,Precio,PrecioCba,Marca,Precio5
686,EVOL5200,HERRAMIENTAS>ESCOBILLAS>PARA TALADRO>,ESCOBILLA DE BRONCE P/TALADRO X 5 UNID.,44,1296,922.38,Publish,1227
683,8023,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE ACERO .4"" C/TUERCA",40,599,398.17,Publish,530
5957,EVOL5142,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE ACERO .4"" S/TUERCA",0,633,423.51,Publish,564
1956,EVOL5122,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE BRONCE .4"" C/TUERCA ROTTWEILER",16,662,493.92,Publish,593
933,933,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE BRONCE .5"" C/TUERCA ROTTWEILER",0,930,647.22,Draft,861
675,EVOL5132,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE BRONCE 4"" S/TUERCA ROTTWEILER",90,582,427.29,Publish,513
676,EVOL5133,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE BRONCE 5"" S/TUERCA ROTTWEILER",46,713,535.94,Publish,644
1797,EVOL51344,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE BRONCE 6"" C/TUERCA ROTTWEILER",0,1108,780.97,Draft,1039
677,EVOL5134,HERRAMIENTAS>ESCOBILLAS>PLANAS>,"ESCOBILLA PLANA DE BRONCE 6"" S/TUERCA ROTTWEILER",77,1035,804.48,Publish,966
1865,0680,HERRAMIENTAS>DE CARPINTERIA>ESCOFINAS>,"ESCOFINA DE 8"" BLISTER X 3 UNID.",8,1436,1027.57,Publish,1367
1795,1795,HERRAMIENTAS>>>,ESCOFINA JUEGO X 5 PARA TALADRO 2479,0,943,657.07,Draft,874
1575,7048,HERRAMIENTAS>DE MEDICION>ESCUADRAS>,ESCUADRA ALUMINIO DE 40CM C/NIVEL,12,1145,881.85,Publish,1076
1772,674,HERRAMIENTAS>DE MEDICION>ESCUADRAS>,ESCUADRA DE ALBAÑIL 60CM X 30CM,2,1221,865.42,Publish,1152
5055,0295,HERRAMIENTAS>ESCUADRA MAGNETICA>>,ESCUADRA DE ALBAÑIL 60CM X 40CM,10,1001,700.62,Publish,932
1475,EVOL1150,HERRAMIENTAS>VARIOS>>,"ESCUADRA MAGNETICA P/SOLDAR FLECHA 3"" P/11KG",87,667,497.72,Publish,598
810,EVOL1152,HERRAMIENTAS>ESCUADRA MAGNETICA>>,"ESCUADRA MAGNETICA P/SOLDAR FLECHA 4"" P/22KG",47,1092,852.44,Publish,1023
421,EVOL1154,HERRAMIENTAS>ESCUADRA MAGNETICA>>,"ESCUADRA MAGNETICA P/SOLDAR FLECHA 5"" P/34KG",22,1928,1548.53,Publish,1859
3550,EVOL1158,HERRAMIENTAS>ESCUADRA MAGNETICA>>,ESCUADRA MAGNETICA P/SOLDAR FLECHA MINI X4,24,1602,1152.2,Publish,1533
945,945,HERRAMIENTAS>DE MEDICION>ESCUADRAS>,ESCUADRA METALICA DE 25CM. C1353,1,452,287.62,Draft,383
1354,EVOL0163,HERRAMIENTAS>DE MEDICION>ESCUADRAS>,ESCUADRA METALICA DE 30CM.,73,397,272.69,Publish,328
1350,EVOL0232,HERRAMIENTAS>DE MEDICION>ESCUADRAS>,ESCUADRA METALICA DE 40CM,120,428,298.78,Publish,359
2273,4127,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA M/MADERA 1"" - 2"" - 3"" BLISTER X3 UNID.",0,473,303.75,Publish,404
2,AL5528,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO DE MADERA .1"" REFORZADA",76,196,95.4,Publish,127
377,AL5530,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO DE MADERA 1"" 1/2 REFORZADA",0,288,164.61,Draft,219
546,546,HERRAMIENTAS>>>,"ESPATULA MANGO DE MADERA 1"" EPA001",0,212,107.21,Draft,143
1978,1978,HERRAMIENTAS>>>,"ESPATULA MANGO DE MADERA 2"" 1/2 REFORZADA COD1772",0,368,224.79,Draft,299
349,349,HERRAMIENTAS>>>,"ESPATULA MANGO DE MADERA 2"" EPA002",0,382,235.16,Draft,313
378,378,HERRAMIENTAS>>>,"ESPATULA MANGO DE MADERA 2"" REFORZADA COD1771",0,312,182.25,Draft,243
355,355,HERRAMIENTAS>>>,ESPATULA MANGO DE MADERA DE ACERO 100MM,0,690,466.77,Draft,621
1669,1669,HERRAMIENTAS>>>,ESPATULA MANGO DE MADERA DE ACERO 120MM,0,1675,1207,Draft,1606
1270,1270,HERRAMIENTAS>>>,ESPATULA MANGO DE MADERA DE ACERO 90MM,0,1354,965.61,Draft,1285
1994,1994,HERRAMIENTAS>>>,"ESPATULA MANGO PLASTICO NEGRO DE  2"" COD1703",0,234,123.46,Draft,165
1993,1993,HERRAMIENTAS>>>,"ESPATULA MANGO PLASTICO NEGRO DE  2,5"" COD1704",0,304,176.37,Draft,235
1930,3266,HERRAMIENTAS>DE CONSTRUCCION>ESPATULAS>,"ESPATULA MANGO PLASTICO WEMBLEY DE .1""",140,210,105.51,Publish,141
